Sentence,Length
fwiw the reason im only around when its time to smoke is that because of gas i can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,200
hello my boytoy i made it home and my constant thought is of you my love i hope your having a nice visit but i cant wait till you come home to me kiss,150
congrats kanowhr s the treat maga,33
who u talking about,19
yup,3
ok,2
u wake up already wat u doing u picking us up later rite im taking sq reaching ard  smth  like dat u can check e arrival time c ya soon,135
yunny im walking in citylink now м faster come down me very hungry,66
er yep sure props,17
hiya  have u been paying money into my account if so thanks got a pleasant surprise when i checked my balance u c i dont get statements  that acc,145
ok ill send you with in  ltdecimalgt  ok,40
bognor it is should be splendid at this time of year,52
yesim in office da,18
sorry ill call later,20
joys father is john then john is the name of joys father mandan,63
ok i only ask abt e movie u wan ktv oso,39
misplaced your number and was sending texts to your old number wondering why ive not heard from you this year all the best in your mcat got this number from my atlanta friends,175
sorry ill call later,20
dunno lei i might b eatin wif my frens if м wan to eat then i wait  м lar,73
sorry ill call later,20
say this slowly godi love you amp i need youclean my heart with your bloodsend this to ten special people amp u c miracle tomorrow do itplspls do it,148
do u noe how  send files between  computers,43
mmmmm  i loved waking to your words this morning  i miss you too my love i hope your day goes well and you are happy i wait for us to be together again,151
jay says hell put in  ltgt,26
can you just come in for a sec theres somebody here i want you to see,69
so the sun is anti sleep medicine,33
whats happening with you have you gotten a job and have you begun registration for permanent residency,102
yup ok,6
glad it went well  come over at  then well have plenty of time before claire goes to work,89
ok enjoy  r u there in home,27
can you pls pls send me a mail on all you know about relatives coming to deliver here all you know about costs risks benefits and anything else thanks,150
you do what all you like,24
thats y we haf to combine n c how lor,37
the monthly amount is not that terrible and you will not pay anything till months after finishing school,104
hmmmhow many players selected,29
they said if its gonna snow it will start around  or  pm tonite they are predicting an inch of accumulation,107
i dont can you send it to me plus hows mode,43
aiyo please м got time meh,26
package all your programs well,30
she is our sister she belongs  our family she is d hope of tomorrow pray  herwho was fated  d shoranur train incident lets hold our hands together amp fuelled by love amp concern prior  her grief amp pain pls join in dis chain amp pass it stop violence against women,266
so are you guys asking that i get that slippers again or its gone with last year,80
company is very goodenvironment is terrific and food is really nice,67
honestly ive just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out,120
yup but not studying surfing lor im in e lazy mode today,56
please sen my kind advice please come here and try,50
im done c м there,17
oh fine ill be by tonight,25
мп give me some time to walk there,34
ill reach in ard  mins ok,25
fuck babe  what happened to you  how come you never came back,61
some friends want me to drive em someplace probably take a while,64
i also thk too fast xy suggest one not me u dun wan its ok going  rain leh where got gd,87
are you still getting the goods,31
and maybe some pressies,23
yeah i am so ill leave maybe ish,32
kkim also finewhen will you complete the course,47
under the sea there lays a rock in the rock there is an envelope in the envelope there is a paper on the paper there are  words ,128
i told her i had a dr appt next week she thinks im gonna die i told her its just a check nothing to be worried about but she didnt listen,137
you in your room i need a few,29
i dont want to hear anything,28
hey for me there is no leave on friday wait i will ask my superior and tell you,79
ultimately tor motive tui achieve korli,39
from  to  only my work timing,29
ы and donычt worry weычll have finished by march ы ish,54
the house is on the water with a dock a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel,115
now thats going to ruin your thesis,35
in sch but neva mind u eat st lor,33
hey whats up u sleeping all morning,35
erm i thought the contract ran out theth of october,51
i dunno until when lets go learn pilates,40
yup im elaborating on the safety aspects and some other issues,62
goodmorning today i am late for hr,34
hi happy birthday hi hi hi hi hi hi hi,38
i will be outside office take all from there,44
if you dont respond imma assume youre still asleep and imma start calling n shit,80
aight see you in a bit,22
my superior telling that friday is leave for all other department except oursso it will be leave for youany way call waheed fathima hr and conform it,149
lol i have to take it member how i said my aunt flow didnt visit for  months its cause i developed ovarian cysts bc is the only way to shrink them,146
still work going onit is very small house,41
my friend just got here and says hes upping his order by a few grams hes got  ltgt  when can you get here,105
tmr timin still da same wat cos i got lesson until ,51
thatычs the thing with apes u can fight to the death to keep something but the minute they have it when u let go thats it,121
no im not gonna be able to  too late notice  ill be home in a few weeks anyway  what are the plans,98
got fujitsu ibm hp toshiba got a lot of model how to say,56
okie thanx,10
gosh that  what a pain spose i better come then,47
as usualiam fine happy amp doing well,37
okie,4
so when you gonna get rimac access ,35
im at arestaurant eating squid i will be out about  wanna dosomething or is that to late,88
you call times job today ok umma and ask them to speed up,57
hello ucall wen u finish wrki fancy meetin up wiv u all tonite as i need a break from dabooks did  hrs last nite today of wrk,125
r u sam p in eachother if we meet we can go  my house,53
 yeah lol luckily i didnt have a starring role like you,55
hello madam how are you ,24
awesome text me when youre restocked,36
as usualiam fine happy amp doing well,37
yes its all innocent fun o,26
thanks for sending this mental ability question,47
sir hope your day is going smoothly i really hoped i wont have to bother you about this i have some bills that i cant settle this month i am out of all extra cash i know this is a challenging time for you also but i have to let you know,236
marrow only wed at  ltgt  to  aha,33
i went to ur hon lab but no one is there,40
i cant pick the phone right now pls send a message,50
hey pple or  for  nightsexcellent location wif breakfast hamper,63
how come,8
lol nah wasnt too bad thanks its good to b home but its been quite a reality check hows ur day been did u do anything with website,130
ok lor,6
im coming home  dinner,22
s daal r above  ltgt,20
unni thank you dear for the rechargerakhesh,43
i know im lacking on most of this particular dramastorms details but for the most part im not worried about that,112
haha they cant what at the most tmr forfeit haha so how,55
hey there glad u r better now i hear u treated urself to a digi cam is it good we r off at pm have a fab new year c u in coupla wks,131
no way im going back there,26
i will cal you sir in meeting,29
thats what i love to hear v see you sundayish then,50
sorry da thangam very very sorry i am held up with prasad,57
tiwary to rcbbattle between bang and kochi,42
thank god they are in bed,25
no i dont have cancer moms making a big deal out of a regular checkup aka pap smear,83
am in gobi arts college,23
why she wants to talk to me,27
pandy joined w technologies todayhe got job,43
they can try they can get lost in fact tee hee,46
hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no,121
my friends use to call the same,31
sorry ill call later,20
em its olowoyey uscedu have a great time in argentina not sad about secretary everything is a blessing,102
its a taxt massagetiepos argh ok lool,37
hi can i please get a  ltgt  dollar loan from you ill pay you back by mid february pls,86
you might want to pull out more just in case and just plan on not spending it if you can i dont have much confidence in derek and taylors money management,154
do you like shaking your booty on the dance floor,49
text me when you get off dont call my phones having problems,60
no need for the drug anymore,28
sorry dai was thought of calling you lot of timeslil busyi will call you at noon,80
its sarcasm nt scarcasim,24
great i have to run now so ttyl,31
feel like trying kadeem again v,31
dai  ltgt  naal eruku,21
not yet chikkuwat abt u,23
ok,2
want to finally have lunch today,32
do you know when dad will be back,33
he remains a bro amongst bros,29
r u meeting da ge at nite tmr,29
 was a nice day and impressively i was sensible went home early and now feel fine or am i just boring whens yours i cant remember,129
why de you looking good only,28
yes they replied my mail im going to the management office later plus will in to bank later alsoor on wednesday,111
thats cool ill come by like  ltgt ish,37
super msg danalla timing,24
good afternoon my boytoy  how are you feeling today  better i hope are you being my good boy are you my obedient slave do you please your queen,143
i am  ft we will be a good combination,38
im sick  im needy  i want you  pouts stomps feet where are you  pouts stomps feet i want my slave  i want him now ,114
 am on a train back from northampton so im afraid not,53
where in abj are you serving are you staying with dad or alone,62
was playng  doors game and gt racing on phone lol,49
solve d case  a man was found murdered on  ltdecimalgt  ltgt  afternoon his wife called police police questioned everyone wife siri was sleeping when the murder took place cook i was cooking gardener i was picking vegetables housemaid i went  d post office children we went  play neighbour we went  a marriage police arrested d murderer immediately whos it reply with reason if u r brilliant,391
im on da bus going home,23
i got a call from a landline number   i am asked to come to anna nagar    i will go in the afternoon,100
im okay chasing the dream whats good what are you doing next,60
yupz ive oredi booked slots  my weekends liao ,46
there r many modelsony ericson also der ltgt it luks good bt i forgot modl no,77
okie,4
yes i know the cheesy songs from frosty the snowman ,52
ya ok vikky vl c witin  ltgt mins and il reply u,48
hey tmr meet at bugis  ,23
all these nice new shirts and the only thing i can wear them to is nudist themed  you in mu,91
hey sexy buns what of that day no word from you this morning on ym    i think of you,84
and whenever you and i see we can still hook up too,51
nope but im going home now then go pump petrol lor like going  rain soon,72
can you use foreign stamps for whatever you send them off for ,62
oh baby of the house how come you dont have any new pictures on facebook,72
feb  ltgt  is i love u day send dis to all ur valued frnds evn me if  comes back ull gt married d person u luv if u ignore dis u will lose ur luv  evr,150
hiya sorry didnt hav signal i havent seen or heard from and neither has which is unusual in itself ill put on the case and get him to sort it out hugs and snogs,160
omw back to tampa from west palm you hear what happened,55
yup no more already thanx  printing n handing it up,51
what i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want,112
s now only i took tablets  reaction morning only,48
nah im a perpetual dd,21
sorry de i went to shop,23
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,168
hey you still want to go for yogasana coz if we end at cine then can go bathe and hav the steam bath,100
nope im not drivin i neva develop da photos lei,47
i am thinking of going down to reg for pract lessons flung my advance haha wat time u going,91
cool i am  ltgt  inches long hope you like them big,51
housemaid is the murderer coz the man was murdered on  ltgt th january as public holiday all govtinstituitions are closedincluding post officeunderstand,152
okie thanx,10
go where n buy juz buy when we get there lar,44
ok lor,6
im working technical support voice process,42
its justbeen overa week since we broke up and already our brains are going to mush,82
tunde how are you doing this is just wishing you a great day abiola,67
nope c м then,13
no but well do medical missions to nigeria,42
no i am not having not any movies in my laptop,46
whatsup there dont u want to sleep,34
i havent lei next mon can,25
mm feeling sleepy today itself i shall get that dear,52
how dare you stupid i wont tell anything to you hear after i wont talk to you,77
do м noe if ben is going,24
can you do a mag meeting this avo at some point,47
i meant middle left or right,28
really i crashed out cuddled on my sofa,39
hi chachi tried calling u now unable to reach u  pl give me a missed cal once u c tiz msg  kanagu,97
i sent you the prices and do you mean the  ltgt g,49
are you this much buzy,22
nothing can,11
no  am working on the ringing u thing but have whole houseful of screaming brats so  am pulling my hair out loving u,116
but my family not responding for anything now am in room not went to home for diwali but no one called me and why not coming it makes me feel like died,151
tick tick tick  babe,20
r м going  todays meeting,25
k dahow many page you want,26
ya had just nowonion roast,26
send his number and give reply tomorrow morning for why you said that to him like that ok,89
you said not now no problem when you can let me know,52
ok but tell me half an hr b u come i need  prepare,50
play w computer aiyah i tok  u lor,34
sat right okay thanks ,22
derp which is worse a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with,127
ok chinese food on its way when i get fat youre paying for my lipo,66
we r outside already,20
have a good trip watch out for  remember when you get back we must decide about easter,86
yo we are watching a movie on netflix,37
what time iычm out until prob  or so,36
can meh thgt some will clash really ah i dun mind i dun seen to have lost any weight gee,88
i dont thnk its a wrong calling between us,42
i am not sure about night menu   i know only about noon menu,60
arr birthday today i wish him to get more oscar,47
say this slowly godi love you amp i need youclean my heart with your bloodsend this to ten special people amp u c miracle tomorrow do itplspls do it,148
open rebtel with firefox when it loads just put plus sign in the user name place and it will show you two numbers the lower number is my number once you pick that number the pin will display okay,195
 and  picking them up from various points,41
wow v v impressed have funs shopping,36
i am on the way to ur home,26
no problem talk to you later,28
then ur sis how,15
still in customer place,23
dude u knw also teluguthts gudk gud nyt,39
we confirm eating at esplanade,30
send me your id and password,28
kind of took it to garage centre part of exhaust needs replacing part ordered n taking it to be fixed tomo morning,114
well i might not come then,26
long after i quit i get on only like  minutes a day as it is,60
then its most likely called mittelschmertz google it if you dont have paracetamol dont worry it will go,103
well at this right im gonna have to get up and check todays steam salespee so text me when you want me to come get you,118
just arrived see you in a couple days lt,40
k wat s tht incident,20
yeah get the unlimited,22
cthen i thk shd b enuff still got conclusion n contents pg n references ill b doing da contents pg n cover pg,109
forgot it takes me  years to shower sorry where you atyour phone dead yet,73
мп got wat to buy tell us then м no need to come in again,57
when you are big god will bring success,39
ы we r stayin here an extra week back next wed how did we do in the rugby this weekend hi to and and  c u soon ham,114
not from this campus are you in the library,43
the affidavit says  ltgt  e twiggs st division g courtroom  ltgt  lttimegt  am ill double check and text you again tomorrow,123
how will i creep on you now ,28
tell your friends what you plan to do on valentines day  lturlgt,64
if i get there before you after your ten billion calls and texts so help me god,79
purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng musthu,146
ive told him that ive returned it that should i re order it,59
housemaid is the murderer coz the man was murdered on  ltgt th january as public holiday all govtinstituitions are closedincluding post office,142
depends on where u going lor,28
and smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you  grins,140
lil fever now fine,18
i think its all still in my car,31
can a not,9
yes princess i want to catch you with my big strong hands,57
oh yeah i forgot u can only take  out shopping at once,54
mm so you asked me not to call radio,36
thinkin about someone is all good no drugs for that,51
say this slowly godi love you amp i need youclean my heart with your bloodsend this to ten special people amp u c miracle tomorrow do itplspls do it,148
enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly,129
alright if youre sure let me know when youre leaving,52
some are lasting as much as  hours you might get lucky,54
genius whats up how your brother pls send his number to my skype,64
thk some of em find wtc too far weiyi not goin e rest i dunno yet r ur goin  dinner den i might b able to join,110
dont forget who owns you and whos private property you are  and be my good boy always  passionate kiss,102
oh godtaken the teethis it paining,34
then u ask darren go n pick u lor but i oso sian tmr haf  meet lect,67
no need to buy lunch for me i eat maggi mee,43
ok lor,6
oh right ok ill make sure that i do loads of work during the day  got a really nasty cough today and is dry n shot so that should really help it,144
wifehow she knew the time of murder exactly,43
howz that persons story,23
thanx  sending me home,22
its normally hot mail com you see,33
u sick still can go shopping,28
ya they are well and fine bbdpooja full pimpleseven she become quite blackand ur rite here its too cold wearing sweatter,120
nicenicehow is it working,25
s reach home call me,20
were trying to find a chinese food place around here,52
easy mate  guess the quick drink was bit ambitious,50
babe  i miiiiiiissssssssss you  i need you  i crave you    geeee  im so sad without you babe  i love you ,105
ok thanx,8
aathiwhere are you dear,23
tunji hows the queen how are you doing this is just wishing you a great day abiola,82
today iz yellow rose day if u love my frndship give me  misscall amp send this to ur frndz amp see how many miss calls u get if u get missed u marry ur lover,157
will be out of class in a few hours sorry,41
wat time u finish ur lect today,31
sad story of a man  last week was my bday my wife didnt wish me my parents forgot n so did my kids  i went to work even my colleagues did not wish as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there she said do u mind if i go into the bedroom for a minute   ok i sed in a sexy mood she came out  minuts latr wid a caken my wife my parents my kidz my friends n my colleagues all screaming surprise  and i was waiting on the sofa    naked,527
shes fine good to hear from you how are you my dear happy new year oh,69
are you going to wipro interview today,38
how tall are you princess,25
i doubt you could handle  times per night in any case,53
haha hope м can hear the receipt sound gd luck,46
your gonna be the death if me im gonna leave a note that says its all robs fault avenge me,90
japanese proverb if one can do it u too can do it if none can do itu must do it indian version if one can do it let him do it if none can do itleave it and finally kerala version if one can do it stop him doing it if none can do it make a strike against it ,257
today im not workin but not free oso gee thgt u workin at ur frens shop  ,73
in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for gudni,158
do you know why god created gap between your fingers so that one who is made for you comes amp fills those gaps by holding your hand with love,142
i want to be there so i can kiss you and feel you next to me,60
i am not at all happy with what you saying or doing,51
ok that would b lovely if u r sure think about wot u want to do drinkin dancin eatin cinema in out about up to u wot about  ,124
what im saying is if you havent explicitly told nora i know someone im probably just not gonna bother,101
he says hi and to get your ass back to south tampa preferably at a kegger,73
smith waste dai wanna gayle,27
mum ive sent you many many messages since i got here i just want to know that you are actually getting them do enjoy the rest of your day,137
aight tomorrow around  ltgt  it is,34
housemaid is the murderer coz the man was murdered on  ltgt th january as public holiday all govtinstituitions are closedincluding post officeunderstand,152
i actually did for the first time in a while i went to bed not too long after i spoke with you woke up at  how was your night,125
see you there ,14
i dont understand your message,30
crucify is c not s you should have told me earlier,50
idk you keep saying that youre not but since he moved we keep butting heads over freedom vs responsibility and im tired i have so much other shit to deal with that im barely keeping myself together once this gets added to it,224
fuck cedar key and fuck her come over anyway tho,48
twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,103
u still painting ur wall,24
printer is cool i mean groovy wine is groovying,47
hi harishs rent has been transfred to ur acnt,45
anything lor is she coming,26
cbe is really good nowadayslot of shop and showroomscity is shaping good,72
мп still attending da talks,27
no probs hon how u doinat the mo,32
k ill take care of it,21
i take it we didnt have the phone callon friday can we assume we wont have it this year now,91
my battery is low babe,22
shuhui has bought rons present its a swatch watch,49
yeah theres quite a bit left ill swing by tomorrow when i get up,64
babe you said  hours and its been almost   is your internet down ,65
k ill be sure to get up before noon and see whats what,54
kkyesterday i was in cbe ,25
went to ganesh dress shop,25
мп collecting ur laptop then going to configure da settings izzit,65
if you r  home then come down within  min,41
aight i should be there by  at the latest probably closer to  are jay and tyler down or should we just do two trips,115
come aftr  ltdecimalgt now i m cleaning the house,49
bill as in are there any letters for me iыєm expecting one from orange that isnыєt a bill but may still say orange on it,120
tell me pa how is pain de,25
hi darlin i hope you had a nice night i wish i had come cant wait to see you love fran ps i want dirty anal sex and i want a  man gang bang,139
ha you donычt know either i did a a clever but simple thing with pears the other day perfect for christmas,106
helloooo wake up sweet morning welcomes you enjoy this day with full of joy gud mrng,84
alrite,6
why must we sit around and wait for summer days to celebrate such a magical sight when the worlds dressed in white oooooh let there be snow,139
how do you guys go to see movies on your side,45
sorryin meeting ill call later,30
you didnt have to tell me thatnow im thinking plus hes going to stop all your runs,82
kindly send some one to our flat before  ltdecimalgt  today,59
nothing lor a bit bored too then y dun u go home early  sleep today,67
what time should i tell my friend to be around,46
yes that will be fine love you be safe,38
thanks chikku gud nyt,21
is xy in ur car when u picking me up,36
thanx  the time weехve spent geva its bin mint ur my baby and all i want is uxxxx,81
yo any way we could pick something up tonight,45
ive not sent it he can send me,30
fine am simply sitting,22
thts gods gift for birds as humans hav some natural gift frm god,64
are you coming to day for class,31
im done just studyn in library,30
ok u enjoy ur shows,19
anything,8
where wuld i be without my baby the thought alone mite break me and i donехt wanna go crazy but everyboy needs his lady xxxxxxxx,128
wats my dear doing sleeping ah,30
hi test on  ltgt rd ,20
only  students solved this cat question in xam  ltgt   ltgt   ltgt  then  tell me the answer if u r brilliantthingi got d answr,127
yo do you know anyone  ltgt  or otherwise able to buy liquor our guy flaked and right now if we dont get a hold of somebody its just  loko all night,148
yup n her fren lor im meeting my fren at ,41
yeah we got one lined up for us,31
and stop wondering wow is she ever going to stop tming me  because i will tm you whenever i want because you are mine  laughs,125
lol yep did that yesterday already got my fireplace now its just another icon sitting there for me,98
hey ive booked the pilates and yoga lesson already haha,55
are you ok what happen to behave like this,42
my supervisor find  me one lor i thk his students i havent ask her yet tell u aft i ask her,91
hello no news on job they are making me wait a fifth week yeah im up for some woozles and weasels in exeter still but be home about  ,133
no messageno responcewhat happend,33
hey babe sorry i didnt get sooner gary can come and fix it cause he thinks he knows what it is but he doesnt go as far a ptbo and he says it will cost  ltgt  bucks i dont know if it might be cheaper to find someone there  we dont have any second hand machines at all right now let me know what you want to do babe,313
make that   fucks sake x,24
leave it u will always be ignorant,34
nope but ill b going  sch on fri quite early lor cos mys sis got paper in da morn ,82
at bruce b downs amp fletcher now,33
where are you  you said you would be here when i woke  ,55
hey now am free you can call me,31
tell me whos this pls,21
think i might have to give it a miss am teaching til twelve then have lecture at two damn this working thing,108
id have to check but theres only like  bowls worth left,55
yes there were many sweets,26
i would but im still cozy and exhausted from last nightnobody went to school or work everything is closed,105
buzzzz grins did i buzz your ass buzz your chest  buzz your cock  where do you keep your phone  is the vibrator on  did you feel it shake ,138
sir send to group mail check it,31
im doing da intro covers energy trends n pros n cons brief description of nuclear fusion n oso brief history of iter n jet got abt  n half pages,144
nonenowhere ikno doesdiscountshitinnit,38
you dont know you jabo me abi,29
not yet hadya sapna aunty manege yday hogidhechinnu full weak and swalpa black agidhane,87
are you being good baby ,24
neft transaction with reference number  ltgt  for rs ltdecimalgt  has been credited to the beneficiary account on  ltgt  at  lttimegt  ltgt,139
mostly sports typelyk footblcrckt,33
ma head dey swell oh thanks for making my day,45
u should make a fb list,23
height of confidence all the aeronautics professors wer calld amp they wer askd  sit in an aeroplane aftr they sat they wer told dat the plane ws made by their students dey all hurried out of d plane bt only  didnt move he saidif it is made by my students,255
sary just need tim in the bollox it hurt him a lot so he tol me,63
happy new year princess,23
ill text carlos and let you know hang on,40
dont worry  is easy once have ingredients,41
i love u  my little pocy bell i am sorry but i love u,53
ok omw now you at castor,24
yar lor keep raining non stop or u wan  go elsewhere,52
what u mean u almost done done wif sleeping but i tot u going to take a nap yup i send her liao so im picking her up at ard  smth lor,133
 wonders in my world th you th ur style th ur smile th ur personality rd ur nature nd ur sms and st ur lovely friendship good morning dear,138
tonight yeah id be down for that,32
what should i eat fo lunch senor,32
he said that he had a right giggle when he saw u again you would possibly be the first persondie from nvq but think how much you could for ,139
no break time one how i come out n get my stuff fr м,52
im there and i can see you but you cant see me  maybe you should reboot ym  i seen the buzz,91
do you still have the grinder,29
love isnt a decision its a feeling if we could decide who to love then life would be much simpler but then less magical,119
ki didt see youkwhere are you now,33
so im doing a list of buyers,28
no idea i guess well work that out an hour after were supposed to leave since as usual nobody has any interest in figuring shit out before the last second,154
mm not entirely sure i understood that text but hey ho which weekend,68
they released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear,111
don knowhe is watching film in computer,39
no b thursday,13
oh then your phone phoned me but it disconnected,48
id onluy matters when getting on from offcampus,47
excellent ill see what rileys plans are,39
i will see in half an hour,26
ew are you one of them,22
also hi wesley howve you been,29
ah you see you have to be in the lingo i will let you know wot on earth it is when has finished making it,105
imagine life without me see how fast u are searching medont worry lm always there to disturb u goodnoon,103
hm good morning headache anyone ,32
yeah no probs  last night is obviously catching up with you speak soon ,71
i might go  sch yar at e salon now v boring,43
 ltgt  mins but i had to stop somewhere first,45
ltgt  is fast approaching so wish u a very happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendshipmotherfatherteacherschildrens day amp happy birthday  u happy ganesh festival happy dasara happy diwali happy christmas  ltgt  good mornings afternoons evenings nights rememberi am the first to wishing u all theseyours raj,433
one of the joys in lifeis waking up each daywith thoughts that somewheresomeone cares enough tosend a warm morning greeting ,124
i didnt get the second half of that message,43
wat time do u wan  meet me later,32
i thank you so much for all you do with selflessness i love you plenty,70
am in film ill call you later,29
how dare you change my ring,27
you are a very very very very bad girl or lady,46
i love ya too but try and budget your money better babe gary would freak on me if he knew,89
what part of dont initiate dont you understand,46
i finished my lunch already u wake up already,45
you still at the game,21
you have got tallent but you are wasting,40
what is your record for one night ,34
also sir i sent you an email about how to log into the usc payment portal ill send you another message that should explain how things are back home have a great weekend,168
 gonna let me know cos comes bak from holiday that day  is coming dontgettext me  number ,89
jokin only lar  depends on which phone my father can get lor,60
aight lemme know whats up,25
get ready for  ltgt  inches of pleasure,39
rajipls do me a favour pls convey my birthday wishes to nimya pls today is her birthday,87
 ok i feel like john lennon,27
cos darren say м considering mah so i ask м,43
you are not bothering me but you have to trust my answers pls,61
wishing you and your family merry x mas and happy new year in advance,69
one day a crab was running on the sea shorethe waves came n cleared the footprints of the crab crab asked being my frnd y r u clearing my beautiful footprints waves replied a fox was following ur footprints to catch you thats y i cleared it off frndsship never lets u dwn  gud nyt,280
aight what time you want me to come up,38
slaaaaave  where are you  must i summon you to me all the time now  dont you wish to come to me on your own anymore,115
your bill at  is еј so thats not bad,36
let me know how it changes in the next hrs it can even be appendix but you are out of that age range however its not impossible so just chill and let me know in hrs,164
hello yeah ive just got out of the bath and need to do my hair so ill come up when im done yeah,95
so hows the weather over there,30
ok not much to do here though hm friday cant wait dunno wot the hell im gonna do for another  weeks become a slob oh wait already done that ,140
die now i have e toot fringe again,34
lol they dont know about my awesome phone i could click delete right now if i want,82
ok,2
awesome question with a cute answer someone asked a boy how is ur life   he smiled amp answered   she is fine gudnite,117
please leave this topicsorry for telling that,45
pls send me the correct name da,31
what happened to our yo date,28
webpage s not available,23
just woke up yeesh its late but i didnt fall asleep til ltgt am ,64
dear all as we know  ltgt th is the  ltgt th birthday of our loving gopalettan we are planning to give a small gift on that day those who like to participate in that you are welcome please contact our admin team for more details,228
kkfrom tomorrow onwards started ah,34
what u talking bout early morning its almost noon where your at,63
fine do you remember me,23
ok how many should i buy,24
sounds good keep me posted,26
ok so april cant wait,21
boy you best get yo ass out here quick,38
ay wana meet on satм wkg on sat,31
im now but have to wait till  for the bus to pick me,52
apart from the one i told you about yesterday,45
ok lor but buy wat,18
somebody should go to andros and steal ice,42
don know i didt msg him recently,32
take us out shopping and mark will distract isaiahd,51
mum hope you are having a great day hoping this text meets you well and full of life have a great day abiola,108
there is no sense in my foot and penis,38
okay but i thought you were the expert,38
deep sigh  i miss you   i am really surprised you havent gone to the net cafe yet to get to me  dont you miss me,112
ssi thinl role is like sachinjust standing others have to hit,61
have a great trip to india and bring the light to everyone not just with the project but with everyone that is lucky to see you smile bye abiola,144
and very importantly all we discuss is between u and i only,59
kkhow about your training process,33
ok lor i ned  go toa payoh  a while  return smth u wan  send me there or wat,76
in da car park ,15
i wish that i was with you holding you tightly making you see how important you are how much you mean to me  how much i need you  in my life ,141
so i asked hows anthony dad and your bf,39
wnevr i wana fal in luv vth my books my bed fals in luv vth me  yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb,134
what todaysundaysunday is holidayso no work,43
am going to take bath ill place the key in window,49
dear take care i am just reaching homelove u a lot,50
staffsciencenusedusgphyhcmkteachingpc,37
have you emigrated or something ok maybe  was a bit hopeful,59
olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement hopefully they dont ignore that,137
we walked from my moms right on stagwood pass right on winterstone left on victors hill address is ltgt,103
yo you at jp and hungry like a mofo,35
this is all just creepy and crazy to me,39
ok i din get ur msg,19
tessypls do me a favor pls convey my birthday wishes to nimyapls dnt forget it today is her birthday shijas,107
pathaya enketa maraikara pa,27
even if he my friend he is a priest call him now,48
u so lousy run already come back then half dead hee,51
thats y i said its bad dat all e gals know u wat u doing now,60
or remind me in a few hrs,25
i had been hoping i would not have to send you this message my rent is due and i dont have enough for it my reserves are completely gone its a loan i need and was hoping you could her the balance is  ltgt  is there a way i could get that from you till mid march when i hope to pay back,285
hi happy new year i dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is thanks,145
hello hun how ru its here by the way im good been on  dates with that guy i met in walkabout so far we have to meet up soon hows everyone else,142
lol i was gonna last month i cashed some in but i left ltgt just in case i was collecting more during the week cause they announced it on the blog,146
short but cute   be a good person ,34
just havent decided where yet eh ,33
wat time liao where still got,29
yes watching footie but worried were going to blow it  phil neville,67
i wait  м inside da car park,28
uncle abbey happy new year abiola,33
now am free call me pa,22
r u saying i should re order the slippers cos i had to pay for returning it,75
stop knowing me so well,23
good evening this is roger how are you,38
small problem in auctionpunj now asking tiwary,46
he telling not to tell any one if so treat for me hi hi hi,58
my uncles in atlanta wish you guys a great semester,51
u coming  pick me,17
thats cool i liked your photos you are very sexy,48
would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me again that needs to b sacked,121
haha better late than ever any way i could swing by,51
ok but i finish at ,19
ive been barred from all b and q stores for lifethis twat in orange dungerees came up to me and asked if i wanted decking so i got the first punch in,149
so no messages had food,23
ok going to sleep hope i can meet her,37
wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,116
can you let me know details of fri when u find out cos im not in tom or fri mentionned chinese thanks,101
youre right i have now that i think about it,44
wat r u doing now,17
is ur lecture over,18
customer place i will call you,30
not planned yet going to join company on jan  onlydon know what will happen after that,86
boy i love u grl hogolo boy gold chain kodstini grl agalla boy necklace madstini grl agalla boy hogli  mutai eerulli kodthini grl i love u kano,143
haha i heard that text me when youre around,43
ill get there tomorrow and send it to you,41
shit babe thasa bit messed upyeh,32
oh thats late well have a good night and i will give u a call tomorrow iam now going to go to sleep night night,111
cheers u tex mecause u werebored yeah okden hunny r uin wk satsoundехs likeyour havin grfun j keep updat countinlots of loveme xxxxx,132
